The Legend of Zelda: Ocarina of Time|99
Perfect Dark|97
GoldenEye 007|96
The Legend of Zelda: Majora's Mask|95
Super Mario 64|94
Paper Mario|93
Banjo-Kazooie|92
Wave Race 64|92
Conker's Bad Fur Day|92
Mario Tennis|91
Mario Golf|91
Rayman 2: The Great Escape|90
Donkey Kong 64|90
Blast Corps|90
Banjo-Tooie|90
Beetle Adventure Racing|90
Resident Evil 2|89
WWF No Mercy|89
Excitebike 64|88
Diddy Kong Racing|88
Star Fox 64|88
Turok 2: Seeds of Evil|86
F-Zero X|85
Star Wars: Rogue Squadron|85
Turok: Dinosaur Hunter|85
NFL Blitz 2000|85
Tony Hawk's Pro Skater 2|84
WipeOut 64|84
Star Wars: Episode I Battle for Naboo|84
Space Station Silicon Valley|83
Mario Kart 64|83
Ridge Racer 64|82
Extreme-G|82
Ogre Battle 64|82
Pokemon Puzzle League|81
007: The World is Not Enough|81
Jet Force Gemini|80
Starcraft 64|80
Pilotwings 64|80
Super Smash Bros.|79
Mario Party|79
Harvest Moon 64|78
Pokemon Stadium 2|78
Castlevania|78
Army Men: Air Combat|77
Pokemon Snap|77
Turok 3: Shadow of Oblivion|77
Kirby 64: The Crystal Shards|77
Forsaken 64|75
Indiana Jones and the Infernal Machine|75
World Driver Championship|75
Mario Party 3|74
Quake|74
Body Harvest|73
Duke Nukem 64|73
Spider-Man|72
Mickey's Speedway USA|71
Dr. Mario 64|71
Duck Dodgers Starring Daffy Duck|69
Mystical Ninja starring Goemon|67
Yoshi's Story|65
Mission: Impossible|61
PGA European Tour|58
Hey You, Pikachu!|57
NFL QB Club 2001|57
Hercules: The Legendary Journeys|55
Fighter Destiny 2|54
Aidyn Chronicles: The First Mage|53
Army Men: Sarge's Heroes 2|46
Cruis'n  Exotica|43
Rally Challenge 2000|41
